Chameleon RevE Rebooted log parser v. 0.01 by NiTRo THe DeMoN

Binary log filename: logtest.bin
Log enabled: true
Log lenght: 29280
Total bytes wrote: 29296

02241/29296: [01382] R | HALT        | 52
02247/29296: [01382] + | READY       | 
02252/29296: [01383] R | READY       | 93 70 FF FF FF FF 00 27 D0
02266/29296: [01383] + | ACTIVE      | 
02271/29296: [01389] R | ACTIVE      | 60 00 F5 7B
02280/29296: [01389] + | AUTHING     | 
02285/29296: [01391] R | AUTHING     | 4E 3C C3 81 A0 E1 9D E7
02298/29296: [01391] + | AUTH IDLE   | 
02303/29296: [01397] R | AUTH IDLE   | 6F 14 F7 B4
02312/29296: [01398] + | AUTH IDLE   | 
02317/29296: [01417] R | AUTH IDLE   | 88 61 2A FD
02326/29296: [01418] + | HALT        | 
02331/29296: [01421] R | HALT        | 52
02337/29296: [01421] + | READY       | 
02342/29296: [01422] R | READY       | 93 70 FF FF FF FF 00 27 D0
02356/29296: [01422] + | ACTIVE      | 
02361/29296: [01431] R | ACTIVE      | E0 80 31 73
02370/29296: [01431] + | ACTIVE      | 
02375/29296: [01436] R | ACTIVE      | 50 00 57 CD
02384/29296: [01436] + | HALT        | 
02389/29296: [01440] R | HALT        | 52
02395/29296: [01440] + | READY       | 
02400/29296: [01441] R | READY       | 93 70 FF FF FF FF 00 27 D0
02414/29296: [01442] + | ACTIVE      | 
02419/29296: [01452] R | ACTIVE      | C2 E0 B4
02427/29296: [01452] + | ACTIVE      | 
02432/29296: [01456] R | ACTIVE      | 50 00 57 CD
02441/29296: [01456] + | HALT        | 
02446/29296: [01463] R | HALT        | 52
02452/29296: [01463] + | READY       | 
02457/29296: [01464] R | READY       | 93 70 FF FF FF FF 00 27 D0
02471/29296: [01464] + | ACTIVE      | 
02476/29296: [01488] R | ACTIVE      | 3C 00 A2 01
02485/29296: [01488] + | ACTIVE      | 
02490/29296: [01495] R | ACTIVE      | 50 00 57 CD
02499/29296: [01495] + | HALT        | 
02504/29296: [01500] R | HALT        | 52
